home_team,away_team,home_odds,away_odds,draw_odds
Ottawa Senators,Seattle Kraken,2.26,2.65,4.5
Pittsburgh Penguins,Philadelphia Flyers,2.03,3.38,4.65
Toronto Maple Leafs,Boston Bruins,2.47,2.4,4.3
Arizona Coyotes,St. Louis Blues,2.25,2.65,4.4
Anaheim Ducks,Colorado Avalanche,4.0,1.71,4.9
Vegas Golden Knights,Washington Capitals,1.84,3.5,4.5
Calgary Flames,Vancouver Canucks,2.31,2.55,4.4
Minnesota Wild,Chicago Blackhawks,1.51,5.1,5.2
NY Rangers,San Jose Sharks,1.43,6.25,5.8
Boston Bruins,Columbus Blue Jackets,1.64,4.5,4.9
Buffalo Sabres,Nashville Predators,2.51,2.4,4.5
Los Angeles Kings,Colorado Avalanche,2.15,3.15,4.65
Philadelphia Flyers,Pittsburgh Penguins,2.52,2.35,4.5
Tampa Bay Lightning,Dallas Stars,2.71,2.42,4.5
Winnipeg Jets,Carolina Hurricanes,2.88,2.08,4.55
Montreal Canadiens,Seattle Kraken,3.05,2.01,4.5
Arizona Coyotes,Washington Capitals,2.22,2.68,4.35
Vegas Golden Knights,St. Louis Blues,1.82,3.56,4.7
Columbus Blue Jackets,Los Angeles Kings,3.85,1.75,4.75
Ottawa Senators,NY Rangers,3.0,2.03,4.45
Buffalo Sabres,Detroit Red Wings,2.67,2.21,4.5
NY Islanders,San Jose Sharks,1.51,5.25,5.15
Chicago Blackhawks,Nashville Predators,3.3,1.9,4.5
Calgary Flames,Minnesota Wild,2.47,2.39,4.4
Colorado Avalanche,Anaheim Ducks,1.58,4.55,5.0
Vancouver Canucks,New Jersey Devils,2.61,2.48,4.6
Florida Panthers,Dallas Stars,2.29,2.65,4.33
Tampa Bay Lightning,Pittsburgh Penguins,2.22,2.78,4.33
St. Louis Blues,Vegas Golden Knights,3.35,2.06,4.5
Edmonton Oilers,Carolina Hurricanes,2.35,2.45,4.55
Boston Bruins,Buffalo Sabres,1.59,4.55,4.95
Detroit Red Wings,San Jose Sharks,1.51,5.1,5.2
Montreal Canadiens,Los Angeles Kings,4.0,1.71,4.7
Ottawa Senators,Toronto Maple Leafs,2.65,2.21,4.5
NY Islanders,Columbus Blue Jackets,1.86,3.42,4.55
Washington Capitals,Dallas Stars,2.9,2.1,4.33
Nashville Predators,Tampa Bay Lightning,2.17,2.78,4.45
Chicago Blackhawks,Anaheim Ducks,2.45,2.39,4.33
Arizona Coyotes,Philadelphia Flyers,2.49,2.4,4.3
Calgary Flames,Carolina Hurricanes,2.7,2.22,4.4
Colorado Avalanche,Winnipeg Jets,2.22,3.04,4.45
Vancouver Canucks,Minnesota Wild,2.34,2.8,4.45
Seattle Kraken,New Jersey Devils,2.85,2.1,4.55
Columbus Blue Jackets,St. Louis Blues,3.0,2.02,4.55
Florida Panthers,Pittsburgh Penguins,1.98,3.15,4.55
Edmonton Oilers,Minnesota Wild,1.8,3.55,4.8
Boston Bruins,Arizona Coyotes,1.75,3.8,4.6
Calgary Flames,New Jersey Devils,2.55,2.27,4.55
Dallas Stars,Vegas Golden Knights,2.29,2.6,4.4
Buffalo Sabres,Montreal Canadiens,1.91,3.3,4.65
Detroit Red Wings,Ottawa Senators,2.27,2.55,4.6
Toronto Maple Leafs,Nashville Predators,1.99,3.1,4.6
Washington Capitals,NY Rangers,3.65,1.97,4.5
NY Islanders,Los Angeles Kings,2.95,2.07,4.4
Chicago Blackhawks,St. Louis Blues,2.8,2.16,4.45
Colorado Avalanche,Philadelphia Flyers,1.89,3.3,4.6
Vancouver Canucks,Carolina Hurricanes,2.67,2.22,4.55
Seattle Kraken,Tampa Bay Lightning,2.55,2.32,4.4
Columbus Blue Jackets,Florida Panthers,4.2,1.67,5.0
Edmonton Oilers,New Jersey Devils,2.11,3.1,4.85
Chicago Blackhawks,Washington Capitals,3.15,1.98,4.5
Montreal Canadiens,Nashville Predators,3.1,1.98,4.55
NY Rangers,Los Angeles Kings,2.32,2.55,4.4
Anaheim Ducks,Winnipeg Jets,3.6,1.81,4.6
Seattle Kraken,Minnesota Wild,2.73,2.18,4.45
Vegas Golden Knights,San Jose Sharks,1.51,5.1,5.35
Buffalo Sabres,Arizona Coyotes,2.22,2.65,4.5
NY Islanders,Toronto Maple Leafs,2.6,2.27,4.45
Dallas Stars,Detroit Red Wings,1.77,3.75,4.7
Colorado Avalanche,Calgary Flames,1.9,3.3,4.6
NY Rangers,Toronto Maple Leafs,1.95,3.35,4.65
Ottawa Senators,Carolina Hurricanes,2.73,2.23,4.6
Pittsburgh Penguins,Arizona Coyotes,1.82,3.55,4.7
St. Louis Blues,Detroit Red Wings,2.1,2.8,4.55
Nashville Predators,Philadelphia Flyers,2.16,2.85,4.45
Seattle Kraken,Florida Panthers,3.15,1.99,4.5
Vancouver Canucks,Tampa Bay Lightning,2.38,2.73,4.65
Vegas Golden Knights,Calgary Flames,1.8,3.6,4.5
Edmonton Oilers,Chicago Blackhawks,1.36,6.7,6.15
San Jose Sharks,Winnipeg Jets,3.75,1.75,4.75
Montreal Canadiens,Pittsburgh Penguins,2.95,2.09,4.35
New Jersey Devils,Boston Bruins,2.29,2.6,4.35
NY Islanders,Anaheim Ducks,1.78,3.74,4.7
